M,R,Teff,L,Meta,logg,Prot,Age
1.028899311,1.179270592,5457,1.201,-0.04,4.521,7.4753,0.79
0.97687589,0.934071398,5746,0.8378,0.023,4.4,4.1844,0.79
1.79384702,2.277213499,7493,14.33,-0.001,4.031,0.0701,0.79
1.146181896,1.135474528,6315,1.717,0.048,4.154,4.8999,0.79
1.120087527,1.181933509,6043,1.629,0.07,4.192,5.9339,0.79
0.840405249,0.805530924,5110,0.4381,-0.084,4.555,7.9021,0.79
0.958202144,0.97426428,5494,0.8066,-0.082,4.453,7.8007,0.79
1.207510575,1.271051442,6363,2.252,-0.012,4.198,3.1433,0.79
0.811947902,0.738840615,5111,0.3627,-0.023,4.568,9.7645,0.79
1.123077698,1.234070332,5941,1.699,-0.094,4.156,5.794,0.79
1.074238055,1.136814921,5859,1.363,0.02,4.425,10.0241,0.79
1.830161094,2.374923633,7516,15.89,0.003,4.051,0.0583,0.79
0.774411177,0.670751062,5050,0.2848,0.082,4.552,8.4193,0.79
1.035554532,1.029620338,5881,1.11,-0.06,4.322,8.7884,0.79
1.217095591,1.427133079,6096,2.525,0.024,4.118,2.5578,0.79
1.567,1.569,6494,3.842,0.165,4.241,8.8,0.802
1.262,1.267,6594,2.301,-0.073,4.333,6.49,0.805
0.98371806,0.92037446,5838,0.8496,-0.08,4.529,11.29,1.0
1.017446373,0.982039314,5889,1.006,-0.24,4.547,10.27,1.0
0.96158465,0.897783029,5746,0.7693,0.21,4.46,10.76,1.0
1.138935368,1.136843395,6268,1.68,0.07,4.429,12.66,1.0
0.967181678,0.927233086,5695,0.804,-0.2,4.564,11.18,1.0
1.044864684,0.989808547,6052,1.112,-0.38,4.368,10.44,1.0
1.100609507,1.069058388,6199,1.42,-0.14,4.454,9.62,1.0
1.221623187,1.426852067,6122,2.556,-0.1,4.471,9.56,1.0
1.506479182,1.938153885,6728,6.804,-0.5,3.426,0.96,1.0
0.940171337,0.940330394,5460,0.7338,-0.18,4.59,11.92,1.0
0.866576496,0.727628828,5608,0.4527,-0.18,4.573,10.73,1.0
1.224293003,1.31913747,6356,2.431,0.02,3.87,5.73,1.0
0.886847818,0.843929865,5355,0.5502,-0.14,4.59,9.98,1.0
1.104583372,0.943782904,6573,1.31,0.36,4.308,9.72,1.0
1.019950301,1.016224667,5811,1.041,-0.36,4.571,10.49,1.0
1.472313029,1.669975307,6982,5.611,-0.5,4.107,1.29,1.0
1.077875212,0.988431081,6274,1.242,-0.1,4.434,11.08,1.0
1.479512619,1.773631356,6851,5.969,0.07,4.228,2.5,1.0
0.886243273,0.832808388,5387,0.5433,-0.18,4.594,10.04,1.0
0.926331399,0.958861905,5303,0.7071,-0.38,4.63,10.75,1.0
0.889643667,0.815927154,5470,0.5421,-0.04,4.57,10.59,1.0
1.107073299,1.05432664,6279,1.435,-0.38,4.489,8.8,1.0
0.96693163,0.879005361,5845,0.7716,-0.28,4.558,10.75,1.0
0.915918561,0.845790159,5574,0.6177,-0.28,4.586,10.9,1.0
0.857082873,0.749104308,5450,0.445,0.07,4.573,11.99,1.0
1.046199528,0.984754735,6075,1.114,-0.16,4.495,10.85,1.0
1.269804251,1.482339008,6284,3.022,-0.24,4.42,9.78,1.0
1.088282231,1.076012545,6103,1.37,-0.2,4.496,10.23,1.0
0.982683303,0.919608914,5831,0.8458,0.0,4.517,10.99,1.0
1.114343984,1.087032885,6240,1.503,-0.16,4.454,9.27,1.0
0.865097474,0.766352805,5450,0.4676,0.07,4.573,10.67,1.0
0.968794513,0.9286534,5704,0.8096,-0.3,4.575,10.75,1.0
